method,population,block_id,external_motor_count,records,blocks,alarms,alarm_rate,score_mean,score_std,score_min,score_q25,score_median,score_q75,score_max
log_euclidean_entity_covariance,fault,0,1,48,48,0,0.0,625.964497263319,75.03217452992075,509.4102639376301,594.7275455033254,617.1872560861161,635.2666142373043,957.6977686130168
log_euclidean_entity_covariance,fault,1,1,48,48,0,0.0,533.1963504077457,433.04943256971205,282.80537431653914,341.05716930122964,380.84245861055524,428.204570597367,2124.85155723519
log_euclidean_entity_covariance,fault,2,1,48,48,0,0.0,921.9089651643279,1105.5220393980876,309.1788188346701,373.6791176469552,450.41111802186055,787.3683298918932,4643.409495066948
log_euclidean_entity_covariance,fault,3,1,48,48,5,0.10416666666666667,1800.8099149062766,2509.41699179911,454.7430529954594,556.7429905677593,795.5167866375389,1440.6326241800018,11787.63777231525
log_euclidean_entity_covariance,fault,4,1,48,48,7,0.14583333333333334,3347.7393595756143,4614.067135136921,774.92653680251,1126.975381138837,1558.0153915768897,2697.2552142951918,20882.281069406927
log_euclidean_entity_covariance,fault,5,1,48,48,11,0.22916666666666666,5445.290633851163,6822.6618098391855,1382.430380641867,2189.7027812538354,2874.4509737754033,4540.533001170468,30712.059103010208
log_euclidean_entity_covariance,fault,6,1,48,48,25,0.5208333333333334,8159.804603145122,7739.262642117501,2676.605346486942,4053.9517593540872,5312.394802463945,7824.89939224949,34139.45791590328
log_euclidean_entity_covariance,fault,7,1,48,48,48,1.0,11916.058763906003,7071.488383355091,5135.348596118523,7523.228530506646,9522.454920759948,12803.287622123335,35090.04585261448
log_euclidean_entity_covariance,healthy_all,0,1,8,8,0,0.0,662.1246266778375,113.15793034567561,570.3895168027893,618.5056364641812,632.3399698909725,646.1395381614219,933.1123260059816
log_euclidean_entity_covariance,healthy_all,1,1,8,8,0,0.0,637.0627820629074,687.3121531320526,344.41961469226027,394.6350859224244,405.517007248976,413.0140983590075,2337.055873013993
log_euclidean_entity_covariance,healthy_all,2,1,8,8,0,0.0,534.3249858275348,411.54616612303573,318.86532926742814,389.2241167204811,404.77363719466007,412.5877873420341,1549.8881819556243
log_euclidean_entity_covariance,healthy_all,3,1,8,8,0,0.0,596.1823832350148,280.80872682058873,418.5025212978173,488.6223520663874,518.1982349955315,528.9532235049114,1284.9967575466192
log_euclidean_entity_covariance,healthy_all,4,1,8,8,0,0.0,848.0507091203706,147.16303888606288,707.001018866195,781.1523439763414,824.3197447369757,834.0218450574035,1195.1624926250183
log_euclidean_entity_covariance,healthy_all,5,1,8,8,1,0.125,2341.718558779964,2731.3485856811326,1268.9557292234788,1363.6187155773382,1406.1408986221281,1420.4774334003087,9100.20952578199
log_euclidean_entity_covariance,healthy_all,6,1,8,8,1,0.125,3319.052990052171,1988.3374443966782,2526.0415110432623,2599.1120265821073,2637.7603613921183,2658.1814544637955,8238.653771938601
log_euclidean_entity_covariance,healthy_all,7,1,8,8,2,0.25,5219.824843489765,745.3618272763399,4894.410511638512,4947.641711847409,4968.020063504296,4986.042709482449,7062.895215363047
log_euclidean_entity_covariance,healthy_test,0,1,4,4,0,0.0,611.3168347926634,33.2201786737698,570.3895168027893,591.2470350005012,617.6347117313783,637.7045115235404,639.6083989051078
log_euclidean_entity_covariance,healthy_test,1,1,4,4,0,0.0,391.9121705309043,32.01202223213926,344.41961469226027,387.0086299203809,405.517007248976,410.4205478594994,412.1950529334049
log_euclidean_entity_covariance,healthy_test,2,1,4,4,0,0.0,382.7803562591324,43.2410131271104,318.86532926742814,375.2392605364901,400.4062045537672,407.94730027640946,411.44368666156697
log_euclidean_entity_covariance,healthy_test,3,1,4,4,0,0.0,490.0899680830608,50.11174152876595,418.5025212978173,474.1084798566587,507.0658288952048,523.047317121607,527.7256932440163
log_euclidean_entity_covariance,healthy_test,4,1,4,4,0,0.0,791.8797493654048,62.54288198318744,707.001018866195,764.6314253422963,806.7735210342951,834.0218450574035,846.970936526834
log_euclidean_entity_covariance,healthy_test,5,1,4,4,0,0.0,1370.515110806075,71.34873839526391,1268.9557292234788,1347.0234900665018,1394.090758118978,1417.5823788585512,1424.923197762865
log_euclidean_entity_covariance,healthy_test,6,1,4,4,0,0.0,2610.5330772804305,62.30945379399135,2526.0415110432623,2584.226566995034,2623.9746187924575,2650.2811290778536,2668.141560493544
log_euclidean_entity_covariance,healthy_test,7,1,4,4,1,0.25,4953.459986246836,43.08027252657296,4894.410511638512,4937.193704369477,4962.560738348413,4978.827020225773,4994.307956652005
